timestamps,TP9,AF7,AF8,TP10,Right AUX
1687428434.350,420.410,29.785,42.480,86.914,20.996
1687428434.354,-90.332,28.320,43.457,-2.441,-78.613
1687428434.358,-426.758,26.367,44.434,-52.246,-62.988
1687428434.362,-179.199,24.902,41.992,-10.254,36.621
1687428434.366,348.633,25.879,38.086,73.730,27.344
1687428434.370,462.891,24.414,38.086,86.914,5.859
1687428434.374,-19.531,24.902,40.039,5.371,-21.484
1687428434.378,-422.363,22.949,38.086,-49.805,13.184
1687428434.381,-236.328,22.461,41.992,-14.160,7.324
1687428434.385,295.410,24.414,39.551,62.988,-29.785
1687428434.389,486.328,21.484,31.250,89.844,20.020
1687428434.393,52.246,22.949,30.762,20.020,30.273
1687428434.397,-388.184,26.367,34.180,-47.363,48.828
1687428434.401,-271.484,27.832,36.133,-32.715,41.016
1687428434.405,238.770,28.809,30.273,47.852,45.898
1687428434.409,512.695,32.715,31.738,95.215,40.039
1687428434.413,138.184,36.133,33.691,31.738,-25.391
1687428434.417,-347.656,36.133,36.621,-40.039,18.066
1687428434.421,-304.199,38.086,42.969,-30.273,61.523
1687428434.424,177.734,35.156,41.504,40.039,35.645
1687428434.428,514.648,31.738,37.598,93.262,-12.695
1687428434.432,206.543,32.227,38.574,38.086,-10.254
1687428434.436,-320.801,34.180,40.527,-41.016,-2.930
1687428434.440,-348.633,32.715,40.039,-36.133,17.090
1687428434.444,114.258,30.273,37.598,31.250,26.367
1687428434.448,501.465,29.785,37.598,93.750,-36.621
1687428434.452,265.625,31.250,45.410,60.059,52.734
1687428434.456,-270.508,34.668,45.898,-26.855,55.176
1687428434.460,-372.070,37.109,42.480,-37.598,-3.418
1687428434.464,50.293,36.133,42.969,36.133,16.113
1687428434.467,482.422,36.133,45.410,108.398,-19.043
1687428434.471,320.312,38.086,43.457,78.125,-69.336
1687428434.475,-217.285,40.527,39.062,-9.766,-49.805
1687428434.479,-395.508,39.062,41.992,-31.250,55.176
1687428434.483,-22.949,35.645,40.527,26.367,42.969
1687428434.487,452.148,36.621,40.039,100.098,32.227
1687428434.491,379.395,40.527,41.016,79.590,86.426
1687428434.495,-155.273,38.086,43.457,-7.812,61.523
1687428434.499,-408.203,33.691,45.410,-43.457,-11.719
1687428434.503,-85.449,29.785,41.016,3.906,-7.324
1687428434.506,413.086,21.973,40.039,83.008,-27.832
1687428434.510,414.062,22.461,40.527,90.332,-30.273
1687428434.514,-105.957,23.926,41.504,0.977,32.227
1687428434.518,-417.480,27.344,43.945,-42.969,5.859
1687428434.522,-149.414,28.320,44.922,5.371,15.625
1687428434.526,366.211,24.414,44.434,83.008,15.625
1687428434.530,454.590,23.438,39.062,93.750,28.809
1687428434.534,-32.715,25.879,35.645,7.324,15.625
1687428434.538,-406.250,28.320,32.715,-47.363,-36.621
1687428434.542,-208.496,24.414,34.180,-14.160,-23.438
1687428434.546,306.641,22.949,34.180,67.383,35.645
1687428434.549,479.004,24.902,31.250,93.262,56.152
1687428434.553,37.598,25.391,36.621,13.672,66.406
1687428434.557,-397.461,23.926,39.062,-41.504,39.062
1687428434.561,-264.648,21.484,36.133,-17.578,8.301
1687428434.565,253.418,21.973,32.715,54.688,47.363
1687428434.569,503.418,23.926,31.250,95.215,86.914
1687428434.573,111.328,25.391,34.180,30.762,49.316
1687428434.577,-363.281,23.926,38.574,-38.086,-4.395
1687428434.581,-298.828,25.391,41.016,-26.855,3.418
1687428434.585,185.547,25.879,37.598,46.387,64.453
1687428434.589,497.070,21.973,35.156,97.656,32.715
1687428434.592,168.945,23.438,41.504,40.039,-4.395
1687428434.596,-340.820,26.367,41.504,-39.551,-1.953
1687428434.600,-352.051,25.391,34.668,-36.133,24.902
1687428434.604,110.840,23.438,33.203,44.434,40.527
1687428434.608,486.816,26.855,34.180,103.027,-9.766
1687428434.612,235.840,29.297,36.621,54.688,10.254
1687428434.616,-296.875,29.297,40.527,-31.250,-7.324
1687428434.620,-387.207,25.879,41.016,-46.387,11.719
1687428434.624,50.781,24.414,38.574,21.484,38.086
1687428434.628,477.051,28.809,36.133,96.680,28.320
1687428434.631,292.480,30.273,31.738,60.059,82.031
1687428434.635,-242.676,28.320,33.203,-29.785,86.426
1687428434.639,-400.391,27.832,37.109,-48.828,41.504
1687428434.643,-11.719,27.344,32.227,14.648,55.664
1687428434.647,450.684,28.320,31.738,98.145,78.125
1687428434.651,349.609,30.273,34.668,76.172,63.965
1687428434.655,-181.152,31.250,30.762,-12.207,27.344
1687428434.659,-412.598,32.227,26.367,-48.340,-41.992
1687428434.663,-85.449,30.273,24.902,5.859,-80.078
1687428434.667,412.598,31.250,24.902,87.402,-48.340
1687428434.670,407.715,35.645,23.438,74.707,-16.602
1687428434.674,-114.746,35.156,25.391,-11.230,-49.805
1687428434.678,-415.039,30.762,28.320,-54.199,38.086
1687428434.682,-136.719,31.250,27.832,-10.254,16.602
1687428434.686,371.582,32.227,26.367,73.730,-50.293
1687428434.690,438.965,31.738,26.367,82.520,42.480
1687428434.694,-53.711,31.250,28.320,-1.465,45.410
1687428434.698,-417.480,29.785,26.367,-55.176,18.555
1687428434.702,-195.801,31.250,27.344,-19.531,-37.109
1687428434.706,327.148,32.715,25.391,68.848,13.184
1687428434.710,473.633,33.203,25.879,91.797,65.918
1687428434.713,24.414,34.668,28.320,10.254,-10.742
1687428434.717,-388.184,33.203,31.738,-56.152,-59.570
1687428434.721,-247.070,29.785,34.668,-26.367,-30.273
1687428434.725,263.672,28.320,27.832,57.129,-14.160
1687428434.729,493.652,27.344,27.832,90.332,29.785
1687428434.733,94.238,27.344,33.691,28.809,45.898
1687428434.737,-360.840,30.273,33.691,-39.551,63.477
1687428434.741,-281.250,29.785,35.645,-24.902,44.434
1687428434.745,211.914,29.785,36.133,60.547,-4.883
1687428434.749,509.766,29.785,28.320,103.027,-29.785
1687428434.753,169.434,28.809,32.227,40.039,-21.484
1687428434.756,-334.961,28.320,38.574,-39.062,10.254
1687428434.760,-326.660,24.902,34.668,-33.203,14.160
1687428434.764,148.438,21.484,35.156,52.734,30.762
1687428434.768,507.324,22.461,32.715,104.980,1.465
1687428434.772,232.422,24.414,29.785,55.664,-9.277
1687428434.776,-294.434,26.367,34.180,-29.785,-43.457
1687428434.780,-358.887,21.484,37.598,-35.156,-42.969
1687428434.784,78.125,22.461,31.738,41.504,0.000
1687428434.788,488.770,23.926,28.809,98.633,1.465
1687428434.792,291.992,25.879,31.738,62.012,0.488
1687428434.795,-246.094,31.738,35.645,-27.832,4.883
1687428434.799,-397.461,26.367,41.016,-37.598,-10.254
1687428434.803,0.977,27.344,38.086,31.738,-53.223
1687428434.807,465.332,30.762,39.551,97.168,-15.137
1687428434.811,337.891,27.344,44.434,74.707,-13.184
1687428434.815,-203.613,27.344,41.016,-20.996,22.949
1687428434.819,-416.992,22.949,42.480,-52.246,97.168
1687428434.823,-70.801,18.066,41.992,11.230,18.555
1687428434.827,417.480,20.508,39.551,87.891,-4.395
1687428434.831,384.766,22.461,37.109,81.055,53.223
1687428434.835,-137.695,26.367,35.645,-15.137,26.855
1687428434.838,-416.992,28.809,42.480,-57.617,-37.598
1687428434.842,-122.070,29.297,45.898,4.883,0.488
1687428434.846,390.137,31.250,38.086,80.566,44.434
1687428434.850,447.754,32.715,35.156,83.008,24.414
1687428434.854,-52.246,30.762,39.062,-2.930,27.344
1687428434.858,-404.297,26.855,40.527,-55.664,7.324
1687428434.862,-179.688,23.926,38.086,-9.766,-35.645
1687428434.866,333.008,26.855,36.133,71.777,-43.457
1687428434.870,459.473,28.809,36.621,92.285,-12.695
1687428434.874,1.465,31.250,38.086,17.090,45.898
1687428434.878,-393.066,35.645,44.434,-40.039,21.484
1687428434.881,-231.934,34.668,46.387,-4.883,12.695
1687428434.885,278.809,31.738,40.527,76.172,23.926
1687428434.889,485.840,30.762,34.180,99.609,-36.621
1687428434.893,76.660,36.621,34.180,19.531,-29.785
1687428434.897,-374.023,36.133,37.109,-47.363,-4.883
1687428434.901,-283.691,34.668,40.527,-19.531,16.602
1687428434.905,224.609,37.109,38.574,60.059,48.828
1687428434.909,501.953,33.203,38.574,101.074,5.859
1687428434.913,137.695,32.715,37.109,31.250,8.301
1687428434.917,-354.980,31.738,37.109,-45.898,33.691
1687428434.921,-327.148,30.762,40.527,-28.320,48.828
1687428434.924,156.250,29.785,35.645,50.781,54.199
1687428434.928,507.812,32.227,32.715,109.375,44.434
1687428434.932,219.238,37.109,37.598,61.035,13.184
1687428434.936,-301.270,33.691,38.086,-21.973,5.371
1687428434.940,-342.285,31.738,35.156,-19.043,7.812
1687428434.944,101.074,29.785,34.180,52.734,1.465
1687428434.948,494.141,29.297,35.156,114.746,-1.465
1687428434.952,283.691,31.738,37.598,74.219,54.688
1687428434.956,-249.512,35.156,36.133,-18.555,96.680
1687428434.960,-375.488,36.133,38.574,-27.344,46.875
1687428434.963,28.809,28.809,40.527,33.691,44.922
1687428434.967,472.656,28.320,39.551,97.656,43.945
1687428434.971,337.891,30.762,41.016,72.266,23.438
1687428434.975,-202.148,27.344,44.434,-18.555,34.668
1687428434.979,-399.902,29.785,42.480,-39.551,47.363
1687428434.983,-38.086,30.273,41.992,17.578,-8.789
1687428434.987,442.871,28.809,40.039,93.750,-7.324
1687428434.991,384.277,31.250,30.762,81.543,67.383
1687428434.995,-147.949,28.320,30.762,-18.066,42.480
1687428434.999,-410.156,26.855,35.156,-53.223,22.949
1687428435.002,-100.586,27.832,34.180,1.953,-19.043
1687428435.006,398.926,25.391,33.691,84.473,-89.355
1687428435.010,424.316,24.902,33.691,82.520,-18.555
1687428435.014,-84.473,25.879,35.156,-7.812,52.246
1687428435.018,-412.598,25.879,38.086,-47.852,42.480
1687428435.022,-160.156,30.273,41.016,0.488,41.992
1687428435.026,353.516,25.391,36.133,82.520,43.457
1687428435.030,465.820,21.973,32.227,92.773,18.066
1687428435.034,-4.395,25.391,38.574,7.812,-15.137
1687428435.038,-396.484,26.855,41.992,-42.969,-19.531
1687428435.042,-214.355,26.367,40.039,-10.742,-5.371
1687428435.045,303.223,25.879,37.109,72.754,14.160
1687428435.049,493.164,26.367,38.086,104.492,41.504
1687428435.053,73.242,32.227,42.969,33.203,36.621
1687428435.057,-371.094,33.203,42.969,-31.250,9.277
1687428435.061,-258.789,28.809,42.480,-11.230,-31.738
1687428435.065,247.559,31.250,37.109,71.289,-17.578
1687428435.069,509.277,31.738,30.762,108.398,28.809
1687428435.073,132.812,29.785,31.738,34.180,44.922
1687428435.077,-352.539,32.227,32.715,-36.133,28.809
1687428435.081,-306.152,29.297,32.227,-21.973,30.273
1687428435.085,174.805,25.391,32.227,55.664,55.664
1687428435.088,502.441,26.367,31.250,98.633,-4.395
1687428435.092,198.242,25.391,33.691,38.574,-25.391
1687428435.096,-312.012,25.391,41.016,-30.273,-23.438
1687428435.100,-342.285,26.367,38.574,-32.715,-39.062
1687428435.104,113.281,24.902,28.320,38.086,47.852
1687428435.108,498.047,20.996,28.320,101.562,80.078
1687428435.112,263.184,21.973,38.574,57.129,17.578
1687428435.116,-268.555,25.391,39.551,-22.949,7.324
1687428435.120,-376.465,23.926,43.945,-34.668,-12.207
1687428435.124,45.898,20.020,44.434,27.832,7.812
1687428435.128,479.004,18.555,33.691,96.680,30.273
1687428435.131,312.012,20.020,36.133,63.965,2.441
1687428435.135,-219.727,21.484,38.086,-28.809,-21.973
1687428435.139,-395.020,20.996,34.180,-49.316,-32.715
1687428435.143,-26.367,23.438,36.133,18.066,-0.977
1687428435.147,447.266,25.879,31.250,90.820,17.578
1687428435.151,372.070,25.879,28.809,72.266,25.391
1687428435.155,-152.832,27.832,38.086,-11.230,17.090
1687428435.159,-400.879,22.949,38.574,-47.363,63.965
1687428435.163,-87.891,16.602,35.156,3.906,60.547
1687428435.167,406.250,21.484,36.133,81.543,-7.324
1687428435.170,410.156,24.414,36.621,81.055,16.113
1687428435.174,-102.051,22.949,39.062,0.488,39.062
1687428435.178,-408.203,24.414,38.086,-45.898,16.602
1687428435.182,-142.090,21.484,34.668,-0.488,-11.719
1687428435.186,365.234,20.508,36.133,82.520,56.641
1687428435.190,447.266,20.996,35.156,95.215,41.016
1687428435.194,-38.086,20.508,36.133,13.672,-51.270
1687428435.198,-409.668,20.508,38.574,-39.551,-3.906
1687428435.202,-214.844,16.113,36.621,0.000,3.906
1687428435.206,302.734,12.207,36.133,84.961,35.156
1687428435.210,478.516,12.207,37.109,104.492,28.320
1687428435.213,39.551,14.160,39.062,27.832,-34.668
1687428435.217,-385.254,14.648,41.504,-36.621,-10.742
1687428435.221,-255.371,15.137,40.527,-13.184,65.430
1687428435.225,250.977,13.672,35.156,72.266,27.832
1687428435.229,497.559,15.625,34.668,108.887,-3.418
1687428435.233,109.863,22.461,36.621,35.156,13.184
1687428435.237,-363.281,23.438,38.086,-37.598,8.789
1687428435.241,-297.852,22.461,37.598,-21.973,46.875
1687428435.245,191.895,23.438,35.156,59.082,14.160
1687428435.249,504.395,24.902,36.133,108.398,42.969
1687428435.252,179.688,28.320,40.039,47.852,13.184
1687428435.256,-330.078,23.926,41.016,-36.621,-45.410
1687428435.260,-345.703,19.531,39.062,-36.621,-31.738
1687428435.264,118.164,21.973,43.457,41.504,-27.344
1687428435.268,493.164,20.508,41.504,89.844,-28.809
