timestamps,TP9,AF7,AF8,TP10,Right AUX
1689861617.318,74.219,27.832,21.484,66.895,93.262
1689861617.322,92.773,28.320,16.113,43.457,0.000
1689861617.326,89.355,32.715,20.508,44.922,20.020
1689861617.329,66.406,32.227,28.320,59.082,23.438
1689861617.333,57.617,29.785,20.996,30.762,24.414
1689861617.337,61.523,27.832,31.250,33.203,5.371
1689861617.341,33.203,28.809,48.340,48.828,26.855
1689861617.345,11.230,27.832,39.062,15.625,64.453
1689861617.349,36.133,30.762,27.344,11.719,50.293
1689861617.353,32.715,35.156,26.855,21.973,95.215
1689861617.357,-0.488,24.902,27.344,6.348,66.895
1689861617.361,-20.020,20.020,29.297,3.906,16.113
1689861617.365,19.043,21.973,24.414,6.348,29.785
1689861617.369,54.199,21.973,22.461,7.324,-1.953
1689861617.372,43.945,22.461,34.668,14.648,-40.039
1689861617.376,7.324,23.926,32.227,4.395,-26.855
1689861617.380,-4.883,35.645,27.344,20.996,28.320
1689861617.384,17.578,33.203,36.133,38.086,57.129
1689861617.388,20.996,25.879,41.016,5.371,54.199
1689861617.392,7.324,29.785,41.504,7.812,44.922
1689861617.396,-26.367,29.785,36.621,11.230,29.785
1689861617.400,-32.715,27.832,20.508,10.254,31.250
1689861617.404,-23.438,21.484,20.996,5.371,15.625
1689861617.408,-12.207,23.926,29.785,-11.230,6.348
1689861617.411,17.090,34.668,29.785,-1.953,49.805
1689861617.415,66.895,41.992,45.410,20.996,54.688
1689861617.419,25.879,31.738,42.480,-0.488,42.969
1689861617.423,-60.059,16.602,17.090,-46.875,64.453
1689861617.427,-24.414,28.809,25.391,-19.043,50.293
1689861617.431,-33.691,32.227,38.086,3.418,30.762
1689861617.435,-48.340,29.785,47.363,16.602,60.547
1689861617.439,-17.578,30.273,53.711,62.012,64.941
1689861617.443,-13.184,26.367,45.410,60.059,0.488
1689861617.447,-6.836,29.297,36.133,31.738,29.785
1689861617.450,-10.254,34.180,47.852,26.855,77.148
