timestamps,TP9,AF7,AF8,TP10,Right AUX
1688994306.757,21.973,38.574,26.855,1.465,-6.836
1688994306.761,28.320,37.109,24.902,11.719,12.695
1688994306.765,31.250,37.598,24.414,20.508,12.695
1688994306.769,22.461,34.180,28.809,23.926,-14.160
1688994306.773,17.578,34.668,29.297,22.949,23.926
1688994306.777,26.367,29.785,25.879,29.785,11.230
1688994306.781,36.133,25.391,28.809,25.391,103.027
1688994306.785,30.762,24.414,27.832,24.414,131.836
1688994306.789,27.344,18.555,21.973,33.203,124.512
1688994306.793,29.297,17.090,23.438,36.133,76.660
1688994306.797,25.879,20.508,26.855,36.621,-2.441
1688994306.800,24.414,21.973,25.879,42.969,11.719
1688994306.804,18.066,22.949,30.762,58.105,70.312
1688994306.808,15.137,20.020,40.527,42.480,61.523
1688994306.812,18.555,29.297,36.621,29.297,3.418
1688994306.816,12.207,34.180,32.227,31.250,7.812
1688994306.820,22.949,25.879,30.762,29.785,57.129
1688994306.824,45.410,31.250,20.508,43.945,95.215
1688994306.828,36.621,36.621,23.926,49.805,33.691
1688994306.832,5.371,32.715,31.738,19.043,60.059
1688994306.836,1.953,26.367,32.227,8.789,96.680
1688994306.840,21.484,24.902,30.273,33.691,75.684
1688994306.843,33.203,28.320,21.484,42.969,26.367
1688994306.847,28.809,26.367,24.414,51.758,1.953
1688994306.851,26.855,25.879,28.809,47.363,51.758
1688994306.855,27.344,34.668,26.367,30.762,38.086
1688994306.859,28.320,34.180,25.879,33.691,2.930
1688994306.863,32.715,33.691,24.902,36.621,-3.906
1688994306.867,31.738,39.551,20.508,36.133,13.184
1688994306.871,20.996,30.762,21.484,33.203,38.086
1688994306.875,8.789,25.879,28.809,27.832,35.645
1688994306.879,13.184,31.250,31.738,33.203,-9.277
1688994306.882,23.926,30.273,31.250,43.457,-47.363
1688994306.886,26.855,29.297,32.715,36.133,30.762
1688994306.890,18.555,24.902,33.203,20.020,52.734
1688994306.894,10.254,20.508,28.809,18.066,17.578
1688994306.898,17.090,19.531,28.320,20.020,23.438
1688994306.902,11.719,20.020,32.227,25.391,46.387
1688994306.906,4.883,22.461,38.086,35.645,64.941
1688994306.910,11.230,20.508,37.109,30.762,61.035
1688994306.914,22.461,22.461,36.133,24.414,27.344
1688994306.918,25.879,23.438,39.062,26.855,16.113
1688994306.922,22.949,21.973,38.086,37.109,15.625
1688994306.925,35.156,19.043,37.598,43.457,6.348
1688994306.929,35.645,16.113,34.668,39.062,10.254
1688994306.933,19.043,16.113,29.297,37.598,12.695
1688994306.937,18.555,15.137,34.668,20.508,29.297
1688994306.941,20.996,15.625,38.574,18.066,56.641
1688994306.945,16.602,18.066,34.180,28.809,37.598
1688994306.949,16.113,20.508,36.133,29.785,21.973
1688994306.953,13.672,26.367,34.668,28.809,16.602
1688994306.957,17.090,33.203,32.227,27.344,15.625
1688994306.961,26.367,32.715,33.691,42.969,4.883
1688994306.964,23.438,35.645,35.645,56.152,50.293
1688994306.968,24.414,33.691,37.598,38.574,53.223
1688994306.972,29.297,25.391,39.062,28.809,38.086
1688994306.976,18.066,34.180,37.598,25.391,29.297
1688994306.980,14.160,45.898,42.969,31.250,72.266
1688994306.984,20.996,43.457,50.781,32.715,109.375
1688994306.988,15.137,41.992,49.805,19.043,38.086
1688994306.992,15.625,47.852,42.969,13.672,14.648
1688994306.996,18.066,42.969,38.574,23.438,47.363
1688994307.000,20.996,34.668,39.551,31.738,18.066
1688994307.004,29.785,33.691,42.969,38.086,25.879
1688994307.007,27.832,36.621,41.992,25.879,33.691
1688994307.011,18.555,33.203,40.039,23.438,-26.367
1688994307.015,21.484,28.809,36.133,28.320,33.691
1688994307.019,26.855,25.391,38.086,33.203,89.844
1688994307.023,24.902,22.461,38.086,44.922,50.293
1688994307.027,29.297,22.949,36.621,41.504,48.828
1688994307.031,33.203,19.531,39.551,41.016,90.820
1688994307.035,28.320,17.578,45.410,41.504,103.027
1688994307.039,27.832,11.230,51.270,50.293,62.012
1688994307.043,31.738,12.695,44.434,52.246,13.672
1688994307.047,30.273,19.043,42.969,43.457,-14.160
1688994307.050,28.320,19.043,46.387,38.574,-14.160
1688994307.054,27.344,22.949,46.387,29.785,-6.836
1688994307.058,20.996,26.367,46.875,24.902,-23.438
1688994307.062,25.879,25.391,43.945,24.414,-0.488
1688994307.066,44.434,19.531,44.434,22.461,-6.348
1688994307.070,41.016,17.578,45.410,20.996,-7.812
1688994307.074,17.578,15.625,47.852,19.043,13.672
1688994307.078,15.625,18.555,40.527,14.648,19.531
1688994307.082,24.414,18.066,40.039,23.438,19.043
1688994307.086,33.691,18.066,46.387,33.691,3.418
1688994307.089,37.109,17.578,42.480,27.344,4.395
1688994307.093,37.109,21.973,37.109,28.809,23.926
1688994307.097,33.203,25.391,36.621,39.062,46.875
1688994307.101,34.668,19.531,40.039,44.434,-30.762
1688994307.105,39.551,22.461,41.504,48.340,-16.113
1688994307.109,34.668,25.391,41.016,35.645,54.688
1688994307.113,30.762,17.090,50.293,39.551,95.215
1688994307.117,36.133,10.254,57.617,56.152,89.355
1688994307.121,33.691,20.996,56.152,55.664,16.602
1688994307.125,18.555,40.039,48.828,31.738,35.156
1688994307.129,15.137,41.016,47.852,11.719,106.445
1688994307.132,8.789,25.391,57.617,5.371,59.082
1688994307.136,10.254,15.137,51.270,13.672,15.137
1688994307.140,21.484,18.555,44.434,38.574,59.570
1688994307.144,28.809,19.531,45.410,48.828,71.289
1688994307.148,30.762,17.578,41.016,41.016,10.742
1688994307.152,23.438,16.113,40.039,41.992,62.500
1688994307.156,26.367,14.160,42.969,39.551,97.656
1688994307.160,30.273,13.672,37.598,31.738,11.719
1688994307.164,25.391,7.812,34.668,34.668,43.457
1688994307.168,24.414,6.836,33.691,36.621,-3.418
1688994307.172,29.785,14.648,32.227,32.227,6.836
1688994307.175,31.738,20.508,33.691,35.156,46.387
1688994307.179,30.273,21.973,35.156,44.922,-22.949
1688994307.183,34.180,24.902,31.250,48.340,19.531
1688994307.187,41.016,24.902,31.738,43.945,54.688
1688994307.191,36.133,17.090,37.109,44.434,-5.371
1688994307.195,23.926,14.160,40.039,46.875,32.227
1688994307.199,30.273,20.508,41.504,48.340,18.555
1688994307.203,34.180,28.809,34.668,43.945,11.230
1688994307.207,25.879,31.738,32.227,39.551,113.281
1688994307.211,25.879,36.621,35.156,36.621,70.801
1688994307.214,39.062,41.016,35.645,41.504,18.066
1688994307.218,41.992,43.945,41.016,41.016,45.898
1688994307.222,41.016,41.992,41.992,34.180,33.203
1688994307.226,52.734,37.598,41.504,42.480,24.414
1688994307.230,33.691,37.598,39.062,41.016,-1.465
1688994307.234,25.879,40.039,41.016,33.203,-12.695
1688994307.238,30.762,38.086,46.875,34.180,20.996
1688994307.242,30.762,34.180,48.828,41.992,12.207
1688994307.246,41.016,30.762,51.270,43.457,-4.883
1688994307.250,44.434,31.250,52.734,41.016,-15.625
1688994307.254,35.645,33.691,50.781,37.598,9.766
1688994307.257,32.715,28.809,54.688,45.410,45.898
1688994307.261,41.016,30.273,58.105,46.387,40.039
1688994307.265,41.504,29.785,46.387,38.574,53.223
1688994307.269,30.762,22.949,42.480,24.414,61.523
1688994307.273,22.949,18.066,43.945,20.996,36.621
1688994307.277,23.926,12.695,39.551,27.832,-2.930
1688994307.281,29.785,14.648,42.480,38.086,-3.418
1688994307.285,34.668,18.555,46.387,39.062,56.152
1688994307.289,30.762,20.996,45.898,35.156,29.785
1688994307.293,21.973,26.367,42.969,30.273,-14.648
1688994307.296,14.160,26.367,39.551,29.297,30.273
1688994307.300,20.508,25.391,37.109,42.969,54.199
1688994307.304,29.785,28.320,41.992,40.527,6.348
1688994307.308,26.367,33.203,43.457,31.250,29.785
1688994307.312,24.414,37.598,39.551,17.090,105.469
1688994307.316,24.902,32.715,35.645,16.602,74.707
1688994307.320,29.785,27.832,35.645,25.391,36.621
1688994307.324,28.809,33.691,34.180,28.809,120.605
1688994307.328,23.438,35.645,30.273,21.973,123.047
1688994307.332,22.949,31.250,29.297,8.789,46.387
1688994307.336,13.184,31.250,27.832,16.113,58.594
1688994307.339,14.648,26.367,18.066,20.996,0.977
1688994307.343,20.996,23.926,9.277,17.090,-50.293
1688994307.347,17.090,28.809,14.160,5.859,-6.348
1688994307.351,14.160,36.133,16.113,3.418,33.691
1688994307.355,24.902,31.250,11.719,12.207,71.289
1688994307.359,35.156,27.832,12.207,14.648,15.137
1688994307.363,24.902,29.297,12.207,19.043,46.875
1688994307.367,23.926,33.203,13.672,23.438,95.215
1688994307.371,18.066,31.250,14.648,19.531,27.832
1688994307.375,18.555,23.438,15.137,12.695,-17.578
1688994307.379,22.949,24.414,19.043,11.719,-6.348
1688994307.382,21.973,30.273,25.879,20.020,21.973
1688994307.386,26.855,26.367,31.738,40.527,21.973
1688994307.390,18.555,20.996,39.062,33.203,33.203
1688994307.394,9.766,24.902,35.156,21.973,-10.254
1688994307.398,13.184,27.832,31.250,32.715,21.973
1688994307.402,22.461,28.809,36.621,36.133,42.480
1688994307.406,28.809,30.762,33.691,44.434,21.973
1688994307.410,34.180,32.715,27.832,42.969,5.859
