timestamps,TP9,AF7,AF8,TP10,Right AUX
1689934105.363,77.148,1.465,-17.578,16.602,10.742
1689934105.367,81.543,16.113,-24.414,-5.859,15.625
1689934105.370,77.148,15.625,-20.020,12.207,-31.738
1689934105.374,91.797,8.789,-13.184,73.730,-50.293
1689934105.378,101.074,11.230,-17.578,85.449,52.734
1689934105.382,75.684,13.672,-18.066,12.695,14.648
1689934105.386,70.801,13.184,-15.137,-18.555,-3.418
1689934105.390,79.590,5.371,-17.090,10.742,25.391
1689934105.394,90.332,16.113,-18.555,75.684,30.762
1689934105.398,78.125,22.461,-22.949,81.055,74.707
1689934105.402,75.195,22.949,-22.461,30.273,49.316
1689934105.406,75.195,20.996,-15.625,-13.672,42.969
1689934105.410,61.035,15.625,-14.648,-1.465,54.199
1689934105.414,66.406,12.695,-14.160,58.594,-19.531
1689934105.418,61.035,12.207,-8.789,63.477,-39.551
1689934105.421,60.547,12.207,-7.324,14.648,-36.621
1689934105.425,66.406,-13.672,-11.230,-19.531,-42.480
1689934105.429,68.359,-26.855,-6.348,0.488,-37.598
1689934105.433,68.359,-5.859,-4.395,61.523,-30.273
1689934105.437,66.895,13.184,2.441,78.125,11.230
1689934105.441,67.383,27.832,4.883,38.086,-7.812
1689934105.445,57.129,32.715,1.465,-10.742,27.344
1689934105.449,49.805,25.879,8.789,-9.766,81.543
1689934105.453,57.129,20.996,10.254,50.781,70.312
1689934105.457,60.059,0.488,10.742,86.426,117.676
1689934105.461,52.246,-15.625,19.043,61.035,148.926
1689934105.465,43.945,3.906,14.648,0.488,88.379
1689934105.468,41.992,25.879,9.277,-18.555,35.645
1689934105.472,48.340,30.762,14.160,39.062,10.742
1689934105.476,52.734,22.949,17.578,81.543,12.207
1689934105.480,48.340,14.648,15.625,63.477,7.812
1689934105.484,41.504,16.602,18.066,7.812,13.184
1689934105.488,41.992,17.578,23.926,-18.066,51.270
1689934105.492,45.410,9.766,20.508,37.109,63.477
1689934105.496,50.293,11.719,18.555,74.707,70.801
1689934105.500,49.316,15.625,15.137,57.617,76.172
1689934105.504,40.039,13.184,17.578,15.137,112.305
1689934105.508,34.668,-1.465,24.414,-14.160,72.754
1689934105.512,38.086,-6.348,20.996,22.461,31.250
1689934105.515,39.062,18.555,14.648,70.312,80.078
1689934105.519,33.691,27.344,18.066,63.477,49.316
1689934105.523,23.438,25.391,16.602,10.742,4.883
1689934105.527,18.555,27.832,12.207,-21.973,61.035
1689934105.531,23.438,24.414,17.578,14.648,105.957
1689934105.535,28.809,20.020,20.996,51.758,24.902
1689934105.539,23.438,13.184,19.043,48.828,-28.320
1689934105.543,17.090,8.789,25.391,14.648,12.207
1689934105.547,14.160,15.625,26.367,-31.250,19.531
1689934105.551,12.695,17.578,22.949,-7.812,49.805
1689934105.555,21.973,0.000,27.344,61.035,70.801
1689934105.559,30.273,0.977,28.809,76.660,20.020
1689934105.562,27.832,12.695,17.090,24.414,40.527
1689934105.566,19.531,18.555,20.020,-30.273,35.156
1689934105.570,20.996,19.531,24.414,-5.859,10.742
1689934105.574,41.504,20.508,23.438,55.664,4.883
1689934105.578,47.852,39.062,24.414,83.008,41.016
1689934105.582,28.320,46.875,21.484,36.621,72.266
1689934105.586,19.043,42.969,20.996,-31.250,-14.160
1689934105.590,20.508,34.180,22.461,-15.625,-40.527
1689934105.594,30.273,32.715,24.902,38.086,26.855
1689934105.598,40.527,31.250,26.855,62.012,66.406
1689934105.602,31.250,25.879,27.344,29.297,10.254
1689934105.606,19.043,28.809,25.391,-20.020,5.371
1689934105.609,26.367,25.879,29.297,-17.090,-16.113
1689934105.613,35.645,12.695,30.762,24.902,-38.086
1689934105.617,41.504,21.973,28.320,61.523,5.859
1689934105.621,39.062,29.297,32.715,45.410,29.785
1689934105.625,33.691,29.785,29.785,-11.230,33.203
1689934105.629,33.691,37.109,29.297,-8.789,-6.836
1689934105.633,45.410,29.297,31.250,49.805,46.387
1689934105.637,62.012,19.043,29.785,87.402,23.438
1689934105.641,56.152,20.020,26.367,63.965,-44.434
1689934105.645,36.621,12.207,27.832,3.906,-27.832
1689934105.649,36.621,19.531,34.180,-7.812,10.742
1689934105.653,40.527,49.316,25.879,32.715,41.992
1689934105.656,33.691,49.316,23.438,68.848,30.273
1689934105.660,35.645,41.016,28.809,57.617,30.762
