timestamps,TP9,AF7,AF8,TP10,Right AUX
1678714318.422,20.020,16.602,38.574,-1.953,92.285
1678714318.426,-13.184,19.043,50.293,-15.137,69.336
1678714318.429,-33.691,18.066,51.758,-43.457,62.012
1678714318.433,-8.301,18.555,44.434,-47.363,30.762
1678714318.437,6.348,14.648,41.504,-23.926,-18.555
1678714318.441,0.977,15.137,42.969,3.906,-13.672
1678714318.445,-11.719,22.461,48.828,-17.578,58.105
1678714318.449,-17.578,22.461,52.246,-63.965,46.875
1678714318.453,-19.043,16.602,48.340,-35.156,3.906
1678714318.457,-13.184,7.324,41.992,-10.742,25.879
1678714318.461,17.090,8.301,41.016,-9.277,-9.277
1678714318.465,-2.441,15.625,43.457,-16.113,11.230
1678714318.468,-35.156,20.020,50.293,-41.992,4.883
1678714318.472,-14.160,20.996,46.875,-37.109,-57.617
1678714318.476,13.672,17.090,35.156,-15.137,-1.953
1678714318.480,20.508,14.648,29.297,-11.230,37.109
1678714318.484,2.930,17.578,39.551,-23.438,34.668
1678714318.488,-30.273,24.414,53.223,-42.480,48.828
1678714318.492,-30.273,26.855,50.781,-51.270,101.074
1678714318.496,-4.395,19.531,43.457,-27.832,111.816
1678714318.500,1.465,18.066,43.945,-5.371,111.816
1678714318.504,-4.395,24.902,52.246,-15.137,126.953
1678714318.508,-33.691,23.926,58.594,-45.898,124.023
1678714318.511,-71.289,22.461,63.965,-69.336,152.832
1678714318.515,-58.105,27.344,62.012,-89.355,54.199
1678714318.519,-42.480,30.762,58.594,-77.637,-7.812
1678714318.523,-83.984,33.691,71.777,-98.145,2.441
1678714318.527,-143.066,38.574,82.031,-144.531,15.625
1678714318.531,-154.297,43.945,84.473,-189.453,62.500
1678714318.535,-171.875,25.391,89.355,-207.031,49.805
1678714318.539,-191.406,-5.371,88.867,-199.707,16.113
1678714318.543,-188.477,20.020,80.078,-221.191,-63.965
1678714318.547,-226.074,56.152,86.426,-248.047,-64.941
1678714318.551,-236.328,58.105,95.215,-260.742,-40.039
1678714318.554,-237.305,42.969,84.961,-251.465,-1.953
