timestamps,TP9,AF7,AF8,TP10,Right AUX
1678714565.102,135.742,46.875,90.332,574.219,39.551
1678714565.106,52.734,69.336,86.426,377.441,28.809
1678714565.110,-105.957,62.988,50.781,74.219,-18.555
1678714565.114,-130.371,58.594,50.781,65.918,-23.438
1678714565.118,18.066,47.852,67.871,350.098,13.672
1678714565.122,132.324,49.316,71.289,560.547,71.289
1678714565.125,80.566,52.246,66.895,404.297,62.988
1678714565.129,-49.316,47.363,76.172,102.051,21.973
1678714565.133,-97.656,64.453,86.914,51.270,19.531
1678714565.137,8.789,55.176,67.871,282.715,-65.430
1678714565.141,125.000,15.137,55.176,478.027,-65.430
1678714565.145,91.797,23.438,64.453,391.113,-10.254
1678714565.149,-50.293,70.801,71.777,112.305,-33.691
1678714565.153,-118.652,66.895,62.012,5.371,-66.406
1678714565.157,-17.090,41.504,57.129,235.840,-72.266
1678714565.161,111.816,29.785,55.176,488.770,-14.648
1678714565.165,105.469,22.949,68.848,444.336,39.062
1678714565.168,-44.434,42.480,83.008,164.551,42.480
1678714565.172,-148.438,58.105,79.590,24.414,-9.277
1678714565.176,-55.664,50.293,77.148,223.145,-36.621
1678714565.180,99.121,33.203,70.801,495.117,0.000
1678714565.184,108.398,26.855,61.523,474.121,62.012
1678714565.188,-11.230,47.363,69.824,211.914,79.590
1678714565.192,-92.773,56.641,83.008,62.500,9.766
1678714565.196,-25.879,50.781,74.707,204.590,16.602
1678714565.200,104.980,47.852,59.082,472.656,32.715
1678714565.204,130.859,41.992,54.688,498.047,56.152
1678714565.207,5.371,37.109,58.594,236.328,67.383
1678714565.211,-105.469,44.922,60.059,44.434,22.461
1678714565.215,-31.738,43.945,57.129,167.969,-4.395
1678714565.219,120.605,41.504,58.594,447.754,10.742
1678714565.223,134.766,44.434,66.406,534.180,59.082
1678714565.227,0.000,37.109,68.359,291.016,-2.930
1678714565.231,-95.703,34.180,56.641,52.734,-23.926
1678714565.235,-45.898,41.016,51.758,148.438,-11.230
1678714565.239,93.750,42.480,55.176,418.457,-21.973
1678714565.243,157.715,38.086,51.270,513.184,41.504
1678714565.247,50.293,33.203,42.480,288.574,61.035
1678714565.250,-76.660,32.715,39.551,30.762,17.090
1678714565.254,-64.941,39.062,44.922,84.961,-34.668
1678714565.258,82.031,40.039,49.316,361.816,34.180
1678714565.262,172.852,27.832,47.852,501.953,92.773
1678714565.266,89.844,38.574,49.316,330.078,43.945
1678714565.270,-41.504,52.734,47.852,69.336,-5.859
1678714565.274,-54.199,56.152,51.758,71.289,-48.828
1678714565.278,70.801,52.734,53.711,325.684,-43.945
1678714565.282,169.922,38.086,43.457,506.836,34.668
1678714565.286,106.445,31.738,47.852,346.191,90.332
1678714565.290,-24.414,31.250,58.594,77.148,51.758
1678714565.293,-43.945,29.297,61.523,49.805,-12.207
1678714565.297,72.754,38.086,53.223,263.672,-10.742
1678714565.301,174.805,52.734,47.852,479.980,58.105
1678714565.305,116.699,52.734,49.805,364.258,117.676
1678714565.309,-28.809,40.527,58.594,92.285,75.195
1678714565.313,-77.148,36.621,62.500,28.320,-11.230
1678714565.317,27.344,32.715,56.152,230.469,-28.320
1678714565.321,155.273,27.344,52.734,448.730,11.719
1678714565.325,142.578,24.902,63.477,385.254,88.379
1678714565.329,11.719,23.438,76.172,130.371,58.594
1678714565.332,-58.594,25.879,68.848,11.719,-17.090
1678714565.336,36.621,35.645,65.430,190.918,-44.434
1678714565.340,149.902,37.598,65.430,425.293,25.391
1678714565.344,133.789,33.203,57.617,379.883,92.773
1678714565.348,23.438,43.457,58.105,122.070,-3.906
1678714565.352,-53.223,52.734,57.617,-1.953,-56.641
1678714565.356,13.184,51.758,59.570,166.504,45.410
1678714565.360,133.789,45.410,59.570,412.598,100.586
1678714565.364,148.926,29.785,55.664,424.316,24.414
1678714565.368,21.973,30.273,49.805,186.035,28.809
1678714565.372,-66.406,55.176,52.734,14.648,6.836
1678714565.375,-14.648,54.688,59.082,118.164,-51.758
1678714565.379,113.770,42.480,56.152,371.582,3.418
1678714565.383,151.367,40.527,52.246,429.199,47.852
1678714565.387,32.715,41.992,53.223,203.613,8.789
1678714565.391,-79.590,41.016,61.035,24.902,5.371
1678714565.395,-47.852,42.480,60.547,103.516,1.953
1678714565.399,84.961,41.016,55.176,357.910,-32.715
1678714565.403,140.625,30.273,58.594,455.566,39.551
1678714565.407,46.387,38.086,58.105,259.277,81.055
1678714565.411,-64.453,61.523,60.059,41.504,-32.715
1678714565.415,-45.898,60.547,65.918,70.801,5.859
1678714565.418,71.777,50.293,64.453,324.219,59.082
1678714565.422,126.953,46.387,51.758,438.965,46.387
1678714565.426,49.316,45.898,51.270,266.602,30.273
1678714565.430,-69.824,49.805,61.523,51.270,12.207
1678714565.434,-78.125,48.828,59.570,60.059,29.297
1678714565.438,34.180,56.152,41.504,273.438,33.691
1678714565.442,125.488,57.617,38.086,418.457,59.082
1678714565.446,63.477,62.988,55.664,304.688,102.539
1678714565.450,-75.684,60.547,66.895,67.383,80.566
1678714565.454,-103.516,55.176,61.523,19.043,42.969
1678714565.457,1.465,48.340,56.641,227.539,82.031
1678714565.461,104.004,39.062,61.035,419.922,82.031
1678714565.465,68.848,50.781,72.754,347.168,76.660
1678714565.469,-69.824,54.199,72.266,106.934,7.324
1678714565.473,-131.836,53.223,60.547,20.996,-5.859
