timestamps,TP9,AF7,AF8,TP10,Right AUX
1687169485.972,202.148,69.824,37.109,38.086,126.465
1687169485.976,208.008,67.871,37.109,32.227,30.273
1687169485.980,218.750,65.430,37.109,22.461,-8.301
1687169485.984,223.145,68.359,37.109,19.531,-23.926
1687169485.988,209.473,69.824,36.133,30.762,-29.785
1687169485.992,203.125,67.871,35.645,37.109,3.906
1687169485.995,213.379,68.359,39.062,36.621,44.434
1687169485.999,222.168,72.266,41.016,36.133,41.016
1687169486.003,216.797,69.824,40.527,29.297,35.645
1687169486.007,209.473,69.824,41.504,23.926,49.316
1687169486.011,215.332,72.266,38.086,28.320,-8.789
1687169486.015,211.426,72.266,35.156,32.227,-22.461
1687169486.019,201.660,71.289,35.645,22.461,2.930
1687169486.023,202.148,66.406,37.109,21.973,4.395
1687169486.027,192.871,67.383,37.598,29.785,29.785
1687169486.031,185.547,70.312,36.621,25.391,52.246
1687169486.034,203.613,68.359,33.203,-1.465,42.480
1687169486.038,213.867,67.383,32.227,-5.371,64.941
1687169486.042,208.496,66.895,36.133,18.555,12.695
1687169486.046,204.102,68.359,38.086,25.391,-19.043
1687169486.050,202.637,67.871,36.133,28.809,22.949
1687169486.054,191.895,68.848,35.156,28.320,46.387
1687169486.058,188.477,65.430,35.156,19.531,40.039
1687169486.062,178.223,61.523,35.156,15.137,21.973
1687169486.066,167.480,62.988,33.691,13.672,35.645
1687169486.070,185.547,62.988,32.715,12.695,2.930
1687169486.074,190.430,64.453,32.715,14.648,5.859
1687169486.077,186.523,63.965,34.180,15.625,33.203
1687169486.081,189.453,62.012,34.668,7.324,-0.488
1687169486.085,188.477,62.012,34.668,12.695,11.719
1687169486.089,191.406,66.895,36.621,27.344,30.762
1687169486.093,186.523,65.918,37.598,15.137,31.738
1687169486.097,170.898,61.035,35.645,8.789,16.602
1687169486.101,187.012,61.523,34.668,-9.277,33.203
1687169486.105,215.332,62.988,35.645,-36.621,47.363
1687169486.109,206.543,65.918,35.156,-53.711,-14.648
1687169486.113,197.754,65.918,36.621,-79.102,64.453
1687169486.117,196.777,67.871,36.621,-100.098,85.449
1687169486.120,194.336,69.336,37.109,-86.914,76.172
1687169486.124,188.965,69.824,41.504,-71.289,80.078
1687169486.128,190.918,67.383,41.992,-70.312,42.969
1687169486.132,197.754,59.082,47.363,-60.547,57.129
1687169486.136,212.402,63.477,49.805,-62.500,11.719
1687169486.140,200.195,75.684,37.109,-88.379,-12.207
1687169486.144,183.594,76.172,29.297,-96.680,19.043
1687169486.148,187.988,74.707,30.762,-100.586,39.062
1687169486.152,177.734,73.242,29.785,-105.957,65.430
1687169486.156,169.434,74.707,26.855,-86.426,35.645
1687169486.159,166.992,78.125,21.973,-86.426,22.461
1687169486.163,171.387,79.102,19.043,-83.008,30.762
1687169486.167,165.527,84.961,19.043,-70.801,47.363
1687169486.171,157.227,89.844,16.113,-70.801,63.965
1687169486.175,161.621,86.914,16.113,-66.406,-22.461
1687169486.179,165.039,81.055,16.113,-56.152,10.254
1687169486.183,166.504,80.566,14.160,-51.758,41.992
1687169486.187,169.922,81.055,12.207,-42.480,11.719
1687169486.191,168.945,78.613,15.137,-34.180,70.801
1687169486.195,176.270,80.078,18.066,-39.062,131.836
1687169486.199,170.898,80.566,18.066,-20.996,69.824
1687169486.202,157.227,80.566,22.949,-5.371,30.273
1687169486.206,163.086,81.543,25.879,-14.160,50.781
1687169486.210,188.965,80.078,23.438,-8.789,64.453
1687169486.214,184.082,74.707,26.855,-11.230,79.102
1687169486.218,176.270,72.266,28.809,-14.160,23.438
1687169486.222,184.082,74.219,27.344,3.418,42.480
1687169486.226,182.129,77.148,28.320,9.766,91.309
1687169486.230,177.246,78.125,26.367,1.465,75.684
1687169486.234,170.898,77.148,27.832,-2.930,86.426
1687169486.238,161.621,79.102,30.273,-1.953,99.609
1687169486.241,170.898,80.078,25.879,2.441,85.938
1687169486.245,167.969,74.219,25.879,8.301,68.848
1687169486.249,170.410,73.730,27.832,9.277,17.578
1687169486.253,185.059,77.148,27.832,-4.883,38.086
1687169486.257,176.270,75.195,27.344,-9.277,55.176
1687169486.261,171.875,76.172,26.855,-1.953,52.734
1687169486.265,167.480,77.637,25.879,-8.301,62.012
1687169486.269,157.715,75.684,24.414,-20.020,50.293
1687169486.273,164.062,73.242,23.926,-30.762,9.277
1687169486.277,163.086,72.266,25.879,-32.715,-16.113
1687169486.281,135.742,74.707,26.367,-24.902,35.156
1687169486.284,140.137,76.172,27.344,-12.695,77.637
1687169486.288,172.363,73.730,30.762,-2.930,55.664
1687169486.292,159.180,70.312,29.297,-17.578,40.039
1687169486.296,150.391,66.406,26.367,-23.926,15.137
1687169486.300,137.207,64.453,27.832,-31.738,-25.879
1687169486.304,139.648,67.383,28.320,-35.645,0.000
1687169486.308,141.602,69.824,28.809,-19.531,32.227
1687169486.312,132.324,68.848,27.832,-37.109,19.043
1687169486.316,125.488,66.895,28.320,-32.715,42.480
1687169486.320,140.137,68.359,28.809,-11.719,48.828
1687169486.324,168.945,69.336,29.297,-10.254,-22.949
1687169486.327,157.715,68.359,28.809,-17.578,-14.160
1687169486.331,146.484,69.336,29.297,-30.273,16.602
1687169486.335,126.953,69.336,30.762,-27.832,-11.230
1687169486.339,127.930,65.430,31.250,-10.254,-25.391
1687169486.343,130.859,63.477,30.762,-3.418,13.672
1687169486.347,130.371,61.523,32.715,-3.906,25.391
1687169486.351,140.137,62.500,30.273,7.812,-1.465
1687169486.355,143.555,64.453,30.762,2.930,-5.859
1687169486.359,153.320,62.500,34.180,1.465,41.992
1687169486.363,135.742,64.941,31.738,3.906,55.176
1687169486.366,127.441,64.941,33.203,-3.906,10.742
1687169486.370,132.812,62.012,31.250,-15.137,32.715
1687169486.374,125.977,63.965,30.762,-31.738,36.621
1687169486.378,109.863,63.965,34.668,-54.199,10.742
1687169486.382,100.098,60.547,29.297,-38.086,0.488
1687169486.386,106.445,60.059,29.297,-11.719,36.133
1687169486.390,121.582,62.500,30.273,-11.230,67.383
1687169486.394,125.488,61.523,29.297,-14.160,54.688
1687169486.398,117.676,60.059,34.180,-12.695,20.996
1687169486.402,112.793,61.523,32.227,-6.836,-7.812
1687169486.406,123.535,60.547,31.738,-12.695,2.441
1687169486.409,120.117,58.105,33.691,-13.672,13.184
1687169486.413,111.816,60.059,33.691,13.184,-26.367
1687169486.417,104.492,60.059,34.668,20.996,-26.855
1687169486.421,101.074,58.594,36.133,16.113,26.855
1687169486.425,106.934,59.570,38.574,37.598,-18.066
1687169486.429,104.980,62.500,35.156,58.594,-20.020
1687169486.433,82.520,64.453,31.738,54.688,24.902
1687169486.437,91.797,62.500,32.227,35.156,21.484
1687169486.441,125.488,62.500,35.156,21.973,32.715
1687169486.445,118.652,61.035,32.715,19.043,56.641
