timestamps,TP9,AF7,AF8,TP10,Right AUX
1689860540.373,49.805,24.414,45.410,60.547,36.133
1689860540.377,40.039,26.367,46.875,60.547,14.160
1689860540.381,43.945,26.855,49.805,56.152,33.691
1689860540.385,54.688,25.391,50.781,53.711,16.602
1689860540.388,62.500,26.855,54.199,64.453,-10.742
1689860540.392,64.453,27.832,54.688,75.195,-3.418
1689860540.396,52.734,28.809,52.734,65.918,-7.812
1689860540.400,41.016,28.320,55.664,48.340,28.809
1689860540.404,44.434,26.367,50.781,42.480,66.406
1689860540.408,50.293,27.344,47.852,50.781,46.875
1689860540.412,47.363,28.320,46.875,51.270,50.781
1689860540.416,37.598,28.809,41.992,40.527,54.688
1689860540.420,29.785,26.367,41.504,27.344,21.973
1689860540.424,28.809,27.344,40.527,27.344,3.906
1689860540.428,40.039,34.668,34.668,41.504,54.688
1689860540.431,45.410,37.109,30.762,47.363,19.043
1689860540.435,44.922,42.969,35.156,51.270,0.000
1689860540.439,36.621,45.410,40.527,46.875,48.340
1689860540.443,15.625,41.992,40.039,38.574,23.438
1689860540.447,37.109,45.410,39.551,42.480,55.176
1689860540.451,47.852,45.898,41.016,41.016,73.242
1689860540.455,21.973,40.527,41.016,39.551,35.156
1689860540.459,17.090,39.062,41.016,29.785,-39.551
1689860540.463,31.250,41.016,36.133,27.832,0.977
1689860540.467,53.711,40.039,30.762,39.551,59.570
1689860540.471,56.152,40.039,32.715,46.387,23.926
1689860540.474,47.852,44.434,35.156,43.945,45.898
1689860540.478,39.551,45.410,38.574,33.691,51.270
1689860540.482,36.621,42.480,41.992,31.250,44.922
1689860540.486,47.852,39.062,41.504,34.180,21.973
1689860540.490,59.570,40.527,36.621,44.434,50.293
1689860540.494,62.500,41.992,36.133,48.828,55.176
1689860540.498,55.176,38.574,42.480,48.828,77.148
1689860540.502,48.340,37.598,41.016,43.457,34.180
1689860540.506,56.641,38.086,37.109,33.691,-40.527
1689860540.510,61.035,36.133,41.992,42.480,-12.207
1689860540.514,56.152,35.645,42.969,54.199,39.551
1689860540.517,46.875,32.715,43.457,42.969,38.086
1689860540.521,42.969,30.273,46.387,30.273,46.875
1689860540.525,46.387,29.785,45.898,36.621,15.625
1689860540.529,46.387,26.855,48.828,43.457,14.648
1689860540.533,42.480,25.879,48.828,49.316,64.453
1689860540.537,32.715,25.879,48.340,37.109,62.500
1689860540.541,26.367,27.832,47.363,24.414,21.973
1689860540.545,29.785,29.785,40.039,21.484,-50.781
1689860540.549,35.645,28.809,36.621,31.250,18.066
1689860540.553,28.809,29.297,39.551,37.109,38.574
1689860540.556,14.160,33.691,38.086,32.715,15.137
1689860540.560,9.277,33.203,39.062,33.691,41.504
1689860540.564,17.578,33.691,41.992,32.227,-2.930
1689860540.568,33.203,37.109,40.527,37.598,18.555
1689860540.572,40.527,36.621,41.016,52.734,60.547
1689860540.576,28.809,36.133,43.457,42.969,44.922
1689860540.580,8.789,37.109,42.480,28.320,10.254
1689860540.584,16.113,37.598,41.992,22.949,36.621
1689860540.588,36.133,38.574,41.504,28.320,24.902
1689860540.592,39.062,39.062,41.992,39.551,45.898
1689860540.596,33.691,39.062,40.527,36.621,38.086
1689860540.599,26.367,43.457,36.133,30.762,-10.254
1689860540.603,33.203,44.922,35.156,31.738,-1.953
1689860540.607,52.246,39.551,37.109,46.387,13.672
1689860540.611,63.965,38.574,38.574,58.594,48.340
1689860540.615,54.199,40.039,38.574,49.316,44.922
1689860540.619,42.480,39.551,37.598,38.086,8.301
1689860540.623,36.621,36.133,36.621,40.527,14.648
1689860540.627,49.805,35.156,36.133,43.945,58.594
1689860540.631,62.012,39.062,33.203,44.922,7.812
1689860540.635,45.898,38.574,29.297,43.457,17.578
1689860540.638,29.785,38.574,28.809,38.574,30.762
1689860540.642,23.926,40.039,26.855,36.133,-51.270
1689860540.646,35.645,37.598,22.949,40.039,-42.969
1689860540.650,43.457,37.109,25.879,42.969,28.809
1689860540.654,37.109,40.039,30.762,47.363,41.504
1689860540.658,25.879,41.016,32.715,50.293,-8.789
1689860540.662,20.996,37.109,35.156,42.969,-11.719
1689860540.666,32.715,33.691,36.621,42.480,20.996
1689860540.670,42.969,34.668,33.691,54.688,-12.695
1689860540.674,41.016,31.738,33.203,59.082,16.602
1689860540.678,35.645,33.691,34.668,58.105,79.590
1689860540.681,33.203,35.156,37.109,48.340,75.684
1689860540.685,45.410,34.180,37.109,44.922,55.176
1689860540.689,60.547,36.133,35.156,58.594,73.242
1689860540.693,64.453,38.086,36.621,63.477,70.312
1689860540.697,53.223,37.109,32.715,56.152,28.809
1689860540.701,46.387,33.691,33.203,49.805,-0.977
1689860540.705,58.594,34.668,33.203,47.852,3.906
1689860540.709,77.148,36.621,26.367,62.988,56.641
1689860540.713,74.219,36.133,26.855,66.895,31.250
1689860540.717,57.129,30.273,32.227,59.082,2.930
1689860540.721,68.848,22.461,36.621,77.148,20.996
1689860540.724,86.426,25.879,41.504,88.379,-5.859
1689860540.728,61.035,36.621,32.715,51.758,10.254
1689860540.732,38.574,38.574,15.625,21.973,-1.465
1689860540.736,33.203,38.086,13.672,22.949,-49.805
1689860540.740,25.391,35.156,19.531,19.043,-0.977
1689860540.744,35.156,30.273,25.879,18.555,5.371
1689860540.748,49.805,29.297,26.367,24.414,15.625
1689860540.752,50.293,28.809,27.832,33.203,67.383
1689860540.756,42.480,25.879,32.715,33.203,73.730
1689860540.760,38.574,24.902,30.273,20.020,18.555
1689860540.763,42.969,26.367,28.320,20.020,18.066
1689860540.767,59.570,27.344,32.715,36.621,65.430
1689860540.771,57.129,30.273,36.133,39.551,83.496
1689860540.775,43.945,29.785,33.203,43.945,97.656
1689860540.779,37.109,27.344,32.715,40.039,50.781
1689860540.783,39.551,28.320,33.691,35.156,44.922
1689860540.787,56.152,29.297,30.762,43.457,0.488
1689860540.791,60.059,29.785,28.809,55.664,5.859
1689860540.795,55.664,31.738,27.832,56.152,19.043
1689860540.799,45.410,32.227,28.809,47.363,1.465
1689860540.803,39.551,30.273,31.250,44.434,39.062
1689860540.806,56.152,27.832,33.691,56.641,14.648
1689860540.810,69.336,29.297,34.668,63.477,-0.977
1689860540.814,60.059,30.273,35.645,62.500,3.906
1689860540.818,48.828,30.762,34.180,62.500,21.484
1689860540.822,47.363,32.227,33.691,52.734,80.078
1689860540.826,53.711,31.738,37.109,52.734,64.453
1689860540.830,59.082,31.738,39.551,60.547,39.062
1689860540.834,54.199,29.785,39.062,66.895,68.359
1689860540.838,40.039,28.809,36.621,56.641,50.293
1689860540.842,35.645,32.227,36.133,44.922,7.812
1689860540.846,47.852,36.133,38.086,55.664,13.184
1689860540.849,53.223,35.645,37.598,68.848,67.871
1689860540.853,52.734,33.203,35.156,64.941,39.551
1689860540.857,37.598,33.203,34.668,51.758,32.715
1689860540.861,26.367,33.203,38.574,40.527,43.945
1689860540.865,41.504,31.250,31.738,33.691,-12.695
1689860540.869,57.617,28.809,27.344,38.574,-48.340
1689860540.873,55.664,28.320,33.691,49.316,29.785
1689860540.877,42.480,28.320,37.598,47.363,33.203
1689860540.881,37.598,27.344,38.086,36.133,-61.035
1689860540.885,44.434,24.414,38.086,36.621,-12.695
1689860540.888,51.270,22.461,34.668,46.387,74.219
1689860540.892,51.758,26.855,33.203,57.617,90.332
1689860540.896,41.992,25.879,37.109,52.734,29.785
1689860540.900,26.367,23.926,35.645,37.598,-16.602
1689860540.904,24.902,27.344,35.645,34.668,-46.875
1689860540.908,39.062,25.879,41.504,49.805,27.832
1689860540.912,41.992,25.879,41.504,61.035,88.379
1689860540.916,36.133,27.344,38.574,50.781,59.082
1689860540.920,31.738,25.391,39.551,41.504,-17.578
1689860540.924,36.621,24.902,40.039,39.062,-22.949
1689860540.928,56.152,25.879,41.992,50.781,16.602
1689860540.931,64.453,23.438,44.434,62.988,62.988
1689860540.935,55.664,24.414,44.922,62.500,22.949
1689860540.939,46.875,26.367,47.363,53.223,-7.324
1689860540.943,52.734,27.344,47.363,44.434,-11.230
1689860540.947,68.359,27.344,44.922,51.270,-11.719
1689860540.951,72.754,26.367,42.969,59.570,-21.484
1689860540.955,68.848,29.297,37.598,63.477,-58.594
1689860540.959,72.754,27.344,38.086,69.824,10.254
1689860540.963,63.477,24.902,42.969,59.570,41.016
1689860540.967,57.617,29.785,37.598,41.016,68.848
1689860540.970,52.246,35.645,29.785,24.414,19.531
1689860540.974,38.086,31.738,35.645,25.391,-22.949
1689860540.978,35.156,27.344,40.527,35.156,62.988
1689860540.982,32.227,25.879,41.016,29.785,68.848
1689860540.986,41.016,23.926,41.992,30.762,13.184
1689860540.990,56.641,26.855,38.574,42.969,28.809
1689860540.994,52.734,27.344,36.133,45.898,56.152
1689860540.998,38.574,28.809,38.574,40.527,40.039
1689860541.002,35.156,33.203,41.992,39.551,-1.953
1689860541.006,48.828,31.738,44.434,37.598,22.949
1689860541.010,61.035,30.762,40.527,44.434,23.926
1689860541.013,57.129,33.691,41.504,46.387,15.625
1689860541.017,43.945,37.109,42.969,28.809,-4.883
1689860541.021,33.691,35.645,41.504,20.020,-19.043
1689860541.025,49.316,31.738,43.945,27.344,-9.766
1689860541.029,61.035,28.320,43.457,34.180,-20.996
1689860541.033,46.387,28.809,43.945,34.180,17.578
1689860541.037,32.715,31.738,42.480,24.902,24.902
1689860541.041,28.809,31.250,41.016,20.508,-24.902
1689860541.045,39.551,30.273,40.039,23.438,36.133
1689860541.049,43.457,30.762,37.109,26.855,149.414
1689860541.053,33.691,31.250,34.668,27.832,116.699
1689860541.056,21.484,30.762,37.109,22.949,36.133
1689860541.060,15.137,30.273,39.062,13.672,42.969
1689860541.064,24.414,27.832,38.086,6.348,49.316
1689860541.068,25.879,24.414,36.133,14.648,20.020
1689860541.072,18.066,21.973,31.738,21.973,31.738
1689860541.076,8.301,19.043,32.227,11.230,28.809
1689860541.080,-3.418,22.949,36.133,5.859,10.742
1689860541.084,-1.953,25.879,40.039,5.859,14.648
1689860541.088,15.137,24.902,40.039,17.578,38.086
1689860541.092,19.531,27.344,41.504,31.250,23.926
1689860541.095,5.371,31.738,43.457,26.855,15.137
1689860541.099,-6.348,31.738,41.992,13.184,-46.875
1689860541.103,-2.930,30.273,44.922,-0.488,-22.461
1689860541.107,7.812,31.738,40.039,6.348,35.156
1689860541.111,-2.441,28.809,37.109,18.555,55.664
1689860541.115,-18.555,24.414,40.527,20.508,25.391
1689860541.119,-28.809,26.367,37.598,9.766,36.133
1689860541.123,-35.156,27.344,35.645,-5.371,33.691
1689860541.127,-29.297,24.902,36.621,4.395,-11.230
1689860541.131,-23.926,26.855,38.086,20.508,31.738
1689860541.135,-33.691,27.344,41.016,13.672,37.598
1689860541.138,-39.551,32.227,40.039,5.371,-26.367
1689860541.142,-35.156,34.668,37.598,1.953,-16.602
1689860541.146,-22.461,31.738,38.086,8.301,41.992
1689860541.150,-15.137,33.203,35.156,18.066,19.531
1689860541.154,-21.484,35.156,37.109,16.602,-82.520
1689860541.158,-30.273,30.762,41.016,10.254,-56.641
1689860541.162,-29.785,25.879,38.086,3.906,16.602
1689860541.166,-13.672,24.902,37.109,8.789,21.484
1689860541.170,1.465,23.926,42.969,23.926,-2.930
1689860541.174,0.000,23.438,45.898,27.832,-63.965
1689860541.177,-5.859,23.438,49.316,23.926,-33.203
1689860541.181,-9.766,24.414,50.293,8.301,40.527
1689860541.185,1.465,25.391,48.340,3.906,64.453
1689860541.189,11.719,25.879,48.828,20.020,34.668
1689860541.193,0.977,25.879,49.316,19.043,14.648
1689860541.197,-5.371,23.438,50.293,12.695,-15.625
1689860541.201,-1.953,25.391,49.805,5.859,-29.297
1689860541.205,8.789,29.785,48.340,9.277,-41.992
1689860541.209,15.625,27.832,45.898,25.879,-3.418
1689860541.213,20.996,26.855,44.434,32.715,33.691
1689860541.217,23.926,28.809,44.922,32.227,5.859
1689860541.220,20.996,30.273,45.898,21.484,8.301
1689860541.224,26.367,26.367,44.922,23.926,50.781
1689860541.228,42.480,24.902,42.969,43.457,50.781
1689860541.232,44.922,24.902,41.992,45.898,-34.668
1689860541.236,24.902,21.484,43.457,38.574,-32.227
1689860541.240,14.648,22.949,42.969,28.320,-9.277
1689860541.244,28.809,25.391,42.969,26.855,32.227
1689860541.248,45.410,27.344,40.039,44.434,38.086
1689860541.252,46.387,28.809,38.574,54.688,88.867
1689860541.256,39.062,29.785,35.645,52.734,86.426
1689860541.260,25.879,29.785,31.738,41.016,43.945
1689860541.263,27.344,28.320,31.250,37.109,80.078
1689860541.267,57.617,32.227,27.344,56.641,70.312
1689860541.271,70.312,31.738,33.203,70.801,39.551
1689860541.275,36.133,27.832,44.434,50.293,4.883
1689860541.279,23.438,22.461,43.945,29.297,-32.227
1689860541.283,44.434,16.602,43.457,39.062,-1.953
1689860541.287,65.918,20.508,43.945,62.500,-18.066
1689860541.291,73.242,20.996,44.922,69.824,-11.719
1689860541.295,56.152,17.090,47.852,61.035,41.016
1689860541.299,43.457,22.949,43.945,50.293,57.129
1689860541.302,49.805,25.391,39.551,45.410,26.855
1689860541.306,71.777,20.996,43.945,58.594,-19.531
1689860541.310,74.707,22.461,41.504,70.801,-28.809
1689860541.314,68.359,24.902,39.062,78.125,27.832
1689860541.318,71.777,25.391,40.527,70.312,43.945
1689860541.322,70.801,27.832,40.527,60.547,29.297
1689860541.326,77.148,30.273,39.551,68.359,-6.836
1689860541.330,81.543,30.762,37.109,78.125,-24.414
1689860541.334,72.754,33.691,35.156,82.031,42.969
1689860541.338,63.477,36.133,33.203,64.941,74.707
1689860541.342,56.641,36.621,36.621,47.852,48.340
1689860541.345,64.453,36.621,33.691,55.664,41.504
1689860541.349,77.148,33.203,26.855,62.988,15.625
1689860541.353,76.172,32.227,27.344,65.430,16.113
1689860541.357,63.477,32.715,28.320,55.176,2.930
1689860541.361,54.199,32.227,28.320,43.457,42.969
1689860541.365,65.430,33.203,29.785,50.293,123.047
1689860541.369,73.242,35.156,31.738,66.895,54.199
1689860541.373,70.312,33.691,30.762,75.684,11.719
1689860541.377,61.035,30.273,33.203,66.406,90.820
1689860541.381,58.105,30.273,32.227,57.617,67.383
1689860541.385,66.406,32.715,32.227,60.547,6.836
1689860541.388,73.730,31.250,32.715,71.289,69.336
1689860541.392,77.148,31.250,31.738,73.730,88.867
1689860541.396,73.242,33.691,36.133,64.941,8.789
1689860541.400,63.477,28.809,40.527,56.641,-14.160
1689860541.404,62.500,25.879,41.016,65.430,-41.016
1689860541.408,74.707,26.855,43.457,77.148,-32.227
1689860541.412,85.449,21.484,45.410,80.078,45.898
1689860541.416,75.195,20.020,47.363,71.289,44.434
1689860541.420,63.965,21.484,47.852,55.176,37.598
1689860541.424,74.707,22.949,47.363,54.688,28.320
1689860541.427,85.449,20.996,48.828,64.941,-14.160
1689860541.431,83.496,19.531,48.828,69.824,1.953
1689860541.435,68.848,21.973,45.898,62.012,40.039
1689860541.439,50.293,23.926,41.504,47.852,30.273
1689860541.443,50.781,26.855,40.527,49.316,-16.113
1689860541.447,63.965,25.391,36.133,59.570,9.277
1689860541.451,67.383,24.414,32.227,64.453,45.898
1689860541.455,64.453,27.344,36.621,66.895,32.715
1689860541.459,58.594,26.855,36.621,59.082,-7.324
1689860541.463,57.129,28.320,34.668,57.129,20.020
1689860541.467,67.871,28.809,38.086,65.918,93.750
1689860541.470,73.730,24.902,37.109,76.172,101.562
1689860541.474,66.406,27.832,36.133,72.266,121.582
1689860541.478,54.199,28.320,38.086,60.547,89.355
1689860541.482,53.223,25.391,35.645,57.617,3.906
1689860541.486,72.266,25.879,31.738,68.359,-0.977
1689860541.490,78.613,27.344,29.297,79.102,35.645
1689860541.494,64.453,25.879,31.738,74.219,15.137
1689860541.498,48.828,23.438,33.203,59.082,35.156
1689860541.502,38.574,21.484,33.691,47.852,34.668
1689860541.506,48.828,22.949,37.598,46.387,30.273
1689860541.510,57.617,19.531,42.480,50.781,43.945
1689860541.513,47.363,19.043,42.480,52.246,-15.137
1689860541.517,32.227,19.531,41.504,45.898,11.230
1689860541.521,23.926,19.043,39.551,36.133,65.918
1689860541.525,39.062,21.484,38.086,38.086,99.121
1689860541.529,59.570,23.926,37.598,51.758,57.129
1689860541.533,55.176,25.391,36.621,56.152,10.254
1689860541.537,46.875,26.855,35.156,49.805,29.785
1689860541.541,44.434,29.297,34.668,41.504,82.031
1689860541.545,60.059,29.785,36.133,43.945,65.918
1689860541.549,72.266,31.738,36.621,53.711,18.066
1689860541.552,73.730,31.738,38.086,62.500,22.949
1689860541.556,68.359,29.297,41.992,64.453,25.879
1689860541.560,54.199,28.320,40.527,52.246,-19.531
1689860541.564,63.477,29.297,36.621,56.152,-45.898
1689860541.568,78.613,30.273,33.203,69.336,12.695
1689860541.572,81.543,31.738,32.715,72.266,93.262
1689860541.576,75.684,32.715,36.621,64.941,82.031
1689860541.580,61.035,33.203,43.457,57.129,39.551
1689860541.584,61.035,34.180,44.434,54.688,77.637
1689860541.588,76.660,32.227,43.945,61.035,88.379
1689860541.592,78.125,28.809,46.875,63.965,28.809
1689860541.595,67.383,28.809,44.434,60.547,-10.254
1689860541.599,59.082,33.203,41.992,53.711,-20.508
1689860541.603,62.500,36.133,42.969,50.781,8.789
1689860541.607,75.684,34.668,40.527,58.105,18.066
1689860541.611,90.332,34.668,31.738,76.172,-1.465
1689860541.615,83.984,35.156,32.715,78.613,-5.859
1689860541.619,41.504,27.344,44.922,45.898,3.418
1689860541.623,30.273,22.949,46.875,31.250,13.184
1689860541.627,60.547,19.531,45.898,52.246,41.992
1689860541.631,76.172,17.090,44.922,63.965,12.207
1689860541.634,74.219,20.020,42.480,61.523,5.859
1689860541.638,61.523,23.438,41.504,51.270,55.664
1689860541.642,50.781,27.344,38.086,39.062,37.109
1689860541.646,66.406,27.344,35.645,42.969,36.133
1689860541.650,75.684,26.855,34.180,51.758,70.312
1689860541.654,65.430,27.344,33.691,48.340,23.438
1689860541.658,55.176,28.320,34.180,41.016,-26.367
1689860541.662,48.828,26.367,37.598,34.180,-12.207
1689860541.666,58.105,20.508,39.062,37.109,-20.508
1689860541.670,62.988,22.949,35.645,53.711,40.527
1689860541.674,52.246,23.926,35.645,56.641,63.965
1689860541.677,44.922,23.438,36.133,48.340,14.648
1689860541.681,35.156,25.391,37.598,43.457,35.156
